time=2026-05-07T14:50:50.719Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.webhook_token dict_type=alert_webhook_token
time=2026-05-07T14:50:50.719Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.prometheus_url dict_type=alert_enrich_prometheus_url
time=2026-05-07T14:50:50.720Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.prometheus_token dict_type=alert_enrich_prometheus_token sensitive=true
time=2026-05-07T14:50:50.720Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.host dict_type=mail_host
time=2026-05-07T14:50:50.721Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.port dict_type=mail_port
time=2026-05-07T14:50:50.723Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.username dict_type=mail_username
time=2026-05-07T14:50:50.724Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.password dict_type=mail_password sensitive=true
time=2026-05-07T14:50:50.724Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.from_email dict_type=mail_from_email
time=2026-05-07T14:50:50.725Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.use_tls dict_type=mail_use_tls
time=2026-05-07T14:50:51.097Z level=INFO source=/app/cmd/server.go:54 msg="database schema migrated"
time=2026-05-07T14:50:51.388Z level=INFO source=/app/cmd/server.go:220 msg="configured readonly role permissions" role=viewer policies_added=119
time=2026-05-07T14:50:51.390Z level=INFO source=/app/cmd/server.go:249 msg="demo user already exists" username=viewer
time=2026-05-07T14:50:51.397Z level=INFO source=/app/cmd/server.go:262 msg="demo user initialized" username=viewer password=viewer123 role=viewer
time=2026-05-07T14:50:51.397Z level=INFO source=/app/cmd/server.go:263 msg="demo user login info" username=viewer password=viewer123
time=2026-05-07T14:50:51.405Z level=INFO source=/app/cmd/server.go:116 msg="permission system server started" addr=:8080
time=2026-05-07T14:51:05.460Z level=WARN source=/app/internal/middleware/auth.go:30 msg="parse token failed" error="token has invalid claims: token is expired"
time=2026-05-07T14:51:05.460Z level=WARN source=/app/internal/middleware/request_logger.go:82 msg="http request completed" request_id=req-1778165465242-og9uvalb method=GET path=/api/v1/auth/me query="" status=401 latency_ms=4 client_ip=219.237.138.118 error_code=UNAUTHORIZED error_message="Token 无效"
time=2026-05-07T14:51:13.479Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165473270-e8a3r22p method=POST path=/api/v1/auth/password-login-code query="" status=200 latency_ms=7 client_ip=219.237.138.118 request_body="{\"username\":\"admin\"}"
time=2026-05-07T14:51:19.796Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479489-hkl4jei5 method=POST path=/api/v1/auth/login query="" status=200 latency_ms=106 client_ip=219.237.138.118 request_body="{\"username\":\"admin\",\"password\":\"***\",\"code\":\"***\",\"captcha_key\":\"ch0raetYCksfa2KzUkQe\"}"
time=2026-05-07T14:51:50.078Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479836-xc07k4ln method=GET path=/api/v1/overview query="" status=200 latency_ms=30042 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:50.085Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509291-ru2qt2c3 method=GET path=/api/v1/overview query="" status=200 latency_ms=590 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:51.864Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511656-mp6677lm method=GET path=/api/v1/menus/tree query="" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.049Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-ltd0v14d method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=56 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.053Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-904h92k5 method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=51 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.054Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-69l7ls6p method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=57 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.055Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-lnit3kln method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=59 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.056Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-z1y0cx4n method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=56 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.056Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-yesep7tu method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=64 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.115Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-5c2myf4d method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200" status=200 latency_ms=7 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.117Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-edvi4aka method=GET path=/api/v1/departments/tree query="" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.121Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-1af4suct method=GET path=/api/v1/users query="page=1&page_size=500" status=200 latency_ms=7 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:52.125Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165511797-78okqgvh method=GET path=/api/v1/projects query="page=1&page_size=500" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.565Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513354-mrw08ijj method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=9 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.576Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513354-1kfzvy6m method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=17 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.578Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513354-4vta5onk method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=20 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.599Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513354-591bwka0 method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.678Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513354-rrh5u7pb method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=115 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.711Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513508-tsi6arbz method=GET path=/api/v1/alerts/subscriptions/tree query="project_id=1" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:53.717Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165513508-bakc0lwt method=GET path=/api/v1/alerts/receiver-groups query="page=1&page_size=200&project_id=1" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:59.521Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165519312-o3t5thns method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=11 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:59.532Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165519312-6hqb3yfv method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=25 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:59.533Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165519312-kex6n7e5 method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=20 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:59.540Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165519312-bggp9erv method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=18 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:59.556Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165519324-7faohhg3 method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=34 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:59.612Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165519312-x6pgs11n method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=96 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:52:02.134Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165521926-2307qhbc method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=12 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:52:15.902Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165535700-u7cqitwc method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:52:15.903Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165535700-38z8ogcn method=GET path=/api/v1/alerts/silences query="page=1&page_size=200" status=200 latency_ms=7 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:52:17.287Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165537052-0d2di5ww method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=40 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:53:03.188Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165582906-ik2x2fj1 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=15 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:53:03.880Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165583671-32ycp7k5 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=15 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:53:04.527Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165584320-bl2hah45 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:31.192Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165670923-4ii7q9gx method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=15 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:33.234Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165673028-knd61z43 method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=9 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:33.306Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165673028-c9nrralv method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=23 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:33.319Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165673051-skqtjxtg method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=27 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:33.321Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165673028-kw7y9r9s method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=34 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:33.322Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165673028-f9trfq3q method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=30 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:33.400Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165673028-oacs91g3 method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=116 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:54:36.096Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165675890-kjs2hwib method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=10 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:18.991Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165718786-77p93poj method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=10 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:19.749Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165719544-1rgf1ltl method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=10 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:24.234Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165724029-hontg45c method=GET path=/api/v1/alerts/silences query="page=1&page_size=200" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:24.236Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165724029-yj2hjvie method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:25.639Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165725429-xw977dby method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:29.950Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729737-26bmrc53 method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=18 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:29.955Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729737-9h2ts1bl method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:29.955Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729737-oel3izpn method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=23 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:29.956Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729737-mz6t4pm0 method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:30.016Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729737-npc8w8zm method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=74 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:30.088Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729886-acalkm55 method=GET path=/api/v1/alerts/subscriptions/tree query="project_id=1" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:55:30.093Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165729886-sf2eqalm method=GET path=/api/v1/alerts/receiver-groups query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:12.108Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165771885-bkoy3edp method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=24 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:12.114Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165771885-q3rjpdcr method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=26 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:12.119Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165771885-c0l4v91b method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=31 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:12.119Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165771885-6yeqrcl9 method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=31 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:12.184Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165771905-pwn2486b method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=30 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:12.204Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165771885-yhueof9h method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=116 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:15.210Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165775006-hywksitb method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=11 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:22.639Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165782435-4d0mnrgx method=GET path=/api/v1/alerts/cloud-expiry-rules query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:25.109Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165783968-2psmbb97 method=POST path=/api/v1/alerts/cloud-expiry-rules/evaluate-now query="" status=200 latency_ms=945 client_ip=219.237.138.118 request_body={} user_id=1 username=admin
time=2026-05-07T14:56:26.504Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165786272-kam154ar method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=33 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:26.512Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165786272-zwuxqi4v method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=36 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:26.513Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165786272-ktk6452s method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=43 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:26.514Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165786272-ddo5yrxz method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=45 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:26.533Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165786288-zbwko4p6 method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=40 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:26.611Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165786272-6iwck0jt method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=136 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:56:29.831Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165789624-hz0d20sc method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=11 client_ip=219.237.138.118 user_id=1 username=admin
